time,open,high,low,close,volume
2021-01-15 14:59:00,823.81,824.5,822.77,823.03,82397
2021-01-15 14:58:00,823.57,825.08,822.76,823.6339,150555
2021-01-15 14:57:00,821.6719,824.98,821.6719,823.2,154245
2021-01-15 14:56:00,822.78,824.25,821.3,821.66,131127
2021-01-15 14:55:00,824.115,825.77,822.16,822.78,144078
2021-01-15 14:54:00,822.44,824.5,822.44,824.2,145026
2021-01-15 14:53:00,823.355,824.21,821.3301,822.16,222421
2021-01-15 14:52:00,823.7345,824.8942,823.0,823.355,167544
2021-01-15 14:51:00,826.43,827.42,823.09,823.8785,221604
2021-01-15 14:50:00,826.4499,827.7799,826.2901,826.36,67348
2021-01-15 14:49:00,827.0,828.69,826.3,826.3464,129083
2021-01-15 14:48:00,825.8,827.49,824.89,827.01,189131
2021-01-15 14:47:00,827.4706,827.5999,825.1075,825.7144,98837
2021-01-15 14:46:00,828.9999,829.05,825.12,827.125,115063
2021-01-15 14:45:00,829.005,829.03,827.55,828.8612,77691
2021-01-15 14:44:00,829.64,830.0,828.88,829.11,70953
2021-01-15 14:43:00,829.3567,830.23,829.1,829.72,88381
2021-01-15 14:42:00,827.2283,829.5,827.2283,829.48,117121
2021-01-15 14:41:00,830.37,830.96,826.83,827.25,151474
2021-01-15 14:40:00,831.0039,831.0039,830.3144,830.425,62689
2021-01-15 14:39:00,830.65,831.88,829.62,831.0,132736
2021-01-15 14:38:00,829.545,830.7436,828.1201,830.65,122154
2021-01-15 14:37:00,830.2435,830.48,829.0,829.7641,115300
2021-01-15 14:36:00,830.9799,831.1905,829.8276,830.3071,86996
2021-01-15 14:35:00,830.285,831.89,830.285,830.834,82316
2021-01-15 14:34:00,831.12,831.5179,830.0,830.245,81659
2021-01-15 14:33:00,832.2529,832.3094,830.76,831.2464,74820
2021-01-15 14:32:00,832.7906,832.9,830.91,832.12,94101
2021-01-15 14:31:00,832.4162,833.3094,831.26,832.81,132638
2021-01-15 14:30:00,830.8737,832.55,830.38,832.425,126820
2021-01-15 14:29:00,832.6089,833.18,829.0,830.76,330417
2021-01-15 14:28:00,832.34,833.845,832.11,832.6,103158
2021-01-15 14:27:00,833.81,834.7,832.37,832.37,120328
2021-01-15 14:26:00,834.368,834.58,833.7614,833.9396,57444
2021-01-15 14:25:00,834.11,834.75,833.6013,834.3523,85661
2021-01-15 14:24:00,834.455,834.48,833.35,834.0063,80925
2021-01-15 14:23:00,835.205,835.65,834.3798,834.685,172079
2021-01-15 14:22:00,836.915,836.915,835.2,835.2,89396
2021-01-15 14:21:00,836.74,837.4,836.7387,836.916,20126
2021-01-15 14:20:00,837.0,837.25,836.47,837.02,25991
2021-01-15 14:19:00,837.4,837.5,836.26,837.11,45782
2021-01-15 14:18:00,837.4611,838.0,837.2592,837.5701,27155
2021-01-15 14:17:00,837.345,837.71,836.94,837.1601,38277
2021-01-15 14:16:00,837.4247,837.9999,837.0115,837.3632,56047
2021-01-15 14:15:00,836.71,837.78,836.63,837.21,65222
2021-01-15 14:14:00,837.635,837.635,836.27,836.8269,85779
2021-01-15 14:13:00,837.5189,837.9,837.12,837.635,40361
2021-01-15 14:12:00,838.11,838.38,837.475,837.59,58638
2021-01-15 14:11:00,839.05,839.09,837.2301,838.2357,84072
2021-01-15 14:10:00,840.29,840.46,838.83,839.0407,106005
2021-01-15 14:09:00,841.6,841.65,840.2438,840.2438,29123
2021-01-15 14:08:00,841.58,841.89,841.44,841.4801,20505
2021-01-15 14:07:00,841.9517,842.5686,841.35,841.53,19843
2021-01-15 14:06:00,842.4622,842.85,841.3701,842.135,37845
2021-01-15 14:05:00,842.87,842.9477,842.31,842.6,23756
2021-01-15 14:04:00,842.19,842.87,842.1,842.87,43319
2021-01-15 14:03:00,841.6701,842.075,841.67,842.0048,27141
2021-01-15 14:02:00,841.8,842.15,841.55,841.7467,30549
2021-01-15 14:01:00,842.51,842.5297,840.53,841.942,87267
2021-01-15 14:00:00,842.92,843.11,842.38,842.4901,23510
2021-01-15 13:59:00,842.8573,843.27,842.73,842.87,21030
2021-01-15 13:58:00,842.9,843.7,842.71,842.73,34261
2021-01-15 13:57:00,843.52,843.69,842.6011,842.8675,37912
2021-01-15 13:56:00,844.49,844.5,843.3801,843.6437,50109
2021-01-15 13:55:00,842.95,844.49,842.7601,844.4833,56275
2021-01-15 13:54:00,843.05,843.4199,842.682,842.92,31369
2021-01-15 13:53:00,842.98,843.27,842.58,843.0136,26369
2021-01-15 13:52:00,842.8425,843.25,842.57,842.97,24018
2021-01-15 13:51:00,842.82,843.6,842.3524,842.745,45449
2021-01-15 13:50:00,843.5942,843.67,842.5901,842.9208,40129
2021-01-15 13:49:00,843.1577,843.88,843.0276,843.5823,69932
2021-01-15 13:48:00,843.06,843.2399,842.61,843.23,31540
2021-01-15 13:47:00,843.28,843.41,842.58,843.13,31800
2021-01-15 13:46:00,842.75,843.5,842.565,843.285,63162
2021-01-15 13:45:00,842.56,843.0,842.1537,842.7081,37625
2021-01-15 13:44:00,842.82,843.0,842.0,842.5044,43365
2021-01-15 13:43:00,842.8361,843.01,842.32,842.8434,31820
2021-01-15 13:42:00,842.635,844.5,842.6,842.735,120462
2021-01-15 13:41:00,842.92,842.945,842.1848,842.5571,57203
2021-01-15 13:40:00,842.3001,843.4,842.0978,843.12,127548
2021-01-15 13:39:00,839.16,842.5,839.16,842.2695,147451
2021-01-15 13:38:00,839.035,839.23,838.7,839.09,26513
2021-01-15 13:37:00,838.84,839.58,838.84,839.0458,39310
2021-01-15 13:36:00,838.9999,839.1999,838.2301,838.93,33884
2021-01-15 13:35:00,838.87,839.44,838.5501,838.84,31657
2021-01-15 13:34:00,839.66,839.66,838.856,838.99,22478
2021-01-15 13:33:00,839.855,840.14,838.86,839.66,50453
2021-01-15 13:32:00,840.34,840.62,839.48,840.0935,46936
2021-01-15 13:31:00,839.8454,840.7298,839.26,840.341,47262
2021-01-15 13:30:00,839.49,840.0,839.47,839.7001,27831
2021-01-15 13:29:00,839.47,839.7064,838.82,839.3417,27704
2021-01-15 13:28:00,839.6,839.8379,838.8904,839.505,38263
2021-01-15 13:27:00,840.18,840.3,839.25,839.6141,36916
2021-01-15 13:26:00,840.18,840.4066,839.71,840.04,32261
2021-01-15 13:25:00,840.18,840.42,839.65,840.2575,43826
2021-01-15 13:24:00,839.589,840.64,839.54,840.2585,56194
2021-01-15 13:23:00,840.33,840.5,839.1212,839.635,54230
2021-01-15 13:22:00,839.2,840.85,838.87,840.21,140891
2021-01-15 13:21:00,839.35,839.8382,838.63,839.13,69054
2021-01-15 13:20:00,839.3885,839.95,839.05,839.455,47070
2021-01-15 13:19:00,839.8477,840.335,839.02,839.385,94546
2021-01-15 13:18:00,838.53,840.0,838.31,839.83,158984
2021-01-15 13:17:00,835.49,838.87,835.49,838.63,136730
2021-01-15 13:16:00,835.2,836.09,834.9906,835.56,61944
2021-01-15 13:15:00,835.055,835.65,834.87,835.3901,45870
2021-01-15 13:14:00,835.262,835.41,834.5601,834.97,34272
2021-01-15 13:13:00,834.9383,835.41,834.79,835.27,29684
2021-01-15 13:12:00,835.6285,835.75,834.153,835.03,57829
2021-01-15 13:11:00,835.1,835.6574,834.56,835.47,44963
